Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Day_Category
42452,SPE - GPD,SULLURUPETTA,GUMMIDIPUNDI,Monday,Weekday
42601,MSB-GPD EMU,CHENNAI BEACH,GUMMIDIPUNDI,Thursday,Weekday
42602,GPD-MSB EMU,GUMMIDIPUNDI,CHENNAI BEACH,Monday,Weekday
42603,MSB-GPD EMU,CHENNAI BEACH,GUMMIDIPUNDI,Sunday,Weekend
42604,GPD-MSB EMU,GUMMIDIPUNDI,CHENNAI BEACH,Monday,Weekday
42605,MSB-GPD EMU,CHENNAI BEACH,GUMMIDIPUNDI,Thursday,Weekday
42606,GPD-MSB EMU,GUMMIDIPUNDI,CHENNAI BEACH,Monday,Weekday
42607,MSB-GPD EMU,CHENNAI BEACH,GUMMIDIPUNDI,Monday,Weekday
42608,GPD-MSB LOCA,GUMMIDIPUNDI,CHENNAI BEACH,Tuesday,Weekday
42651,VLCY-GDP LOC,VELACHEERY,GUMMIDIPUNDI,Friday,Weekday
42652,GPD-VLCY LOC,GUMMIDIPUNDI,VELACHEERY,Tuesday,Weekday
42653,VLCY-GPD LOC,VELACHEERY,GUMMIDIPUNDI,Monday,Weekday
42654,GPD-VLCY LOC,GUMMIDIPUNDI,VELACHEERY,Tuesday,Weekday
42655,VLCY-GPD LOC,VELACHEERY,GUMMIDIPUNDI,Sunday,Weekend
42656,GDP-VLCY LOC,GUMMIDIPUNDI,VELACHEERY,Friday,Weekday
42657,VLCY-GPD LOC,VELACHEERY,GUMMIDIPUNDI,Saturday,Weekend
42701,MSB-PON EMU,CHENNAI BEACH,PONNERI,Wednesday,Weekday
42702,PON-MSB EMU,PONNERI,CHENNAI BEACH,Saturday,Weekend
42751,VLCY-PON LOC,VELACHEERY,PONNERI,Friday,Weekday
42752,PON-VLCY,PONNERI,VELACHEERY,Sunday,Weekend
42801,MSB-SPE EMU,CHENNAI BEACH,SULLURUPETTA,Monday,Weekday
42802,SPE-MSB EMU,SULLURUPETTA,CHENNAI BEACH,Tuesday,Weekday
42804,SPE-MSB EMU,SULLURUPETTA,CHENNAI BEACH,Saturday,Weekend
42851,VLCY-SPE  EM,VELACHEERY,SULLURUPETTA,Tuesday,Weekday
42852,SPE-VLCY LOC,SULLURUPETTA,VELACHEERY,Thursday,Weekday
42854,SPE-VLCY LOC,SULLURUPETTA,VELACHEERY,Wednesday,Weekday
42901,MMC-ENR EMU,MOOR MARKET,ENNORE,Friday,Weekday
43001,MMC-AVD EMU,MOOR MARKET,AVADI,Tuesday,Weekday
43002,AVD-MMC EMU,AVADI,MOOR MARKET,Monday,Weekday
43003,MMC-AVD EMU,MOOR MARKET,AVADI,Sunday,Weekend
43005,MMC-AVD EMU,MOOR MARKET,AVADI,Sunday,Weekend
43006,AVD-MMC EMU,AVADI,MOOR MARKET,Thursday,Weekday
43007,MMC-AVD EMU,MOOR MARKET,AVADI,Tuesday,Weekday
43008,AVD-MMC EMU,AVADI,MOOR MARKET,Sunday,Weekend
43009,MMC-AVD EMU,MOOR MARKET,AVADI,Thursday,Weekday
43011,MMC-AVD EMU,MOOR MARKET,AVADI,Friday,Weekday
43013,MMC-AVD EMU,MOOR MARKET,AVADI,Saturday,Weekend
43014,AVD-MMC EMU,AVADI,MOOR MARKET,Friday,Weekday
43015,MMC-AVD EMU,MOOR MARKET,AVADI,Monday,Weekday
43016,AVD-MMC EMU,AVADI,MOOR MARKET,Saturday,Weekend
43017,MMC-AVD EMU,MOOR MARKET,AVADI,Sunday,Weekend
43018,AVD-MMC EMU,AVADI,MOOR MARKET,Monday,Weekday
43019,MMC-AVD EMU,MOOR MARKET,AVADI,Thursday,Weekday
43020,AVD-MMC EMU,AVADI,MOOR MARKET,Thursday,Weekday
43021,MMC-AVD EMU,MOOR MARKET,AVADI,Sunday,Weekend
43022,AVD-MMC EMU,AVADI,MOOR MARKET,Saturday,Weekend
43023,MMCC-AVD EMU,MOOR MARKET,AVADI,Sunday,Weekend
43025,MMCC-AVD,MOOR MARKET,AVADI,Thursday,Weekday
43029,MMCC-AVD,MOOR MARKET,AVADI,Monday,Weekday
43101,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Sunday,Weekend
43102,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Friday,Weekday
43103,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Tuesday,Weekday
43104,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Wednesday,Weekday
43105,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Thursday,Weekday
43106,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Thursday,Weekday
43107,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Wednesday,Weekday
43108,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Wednesday,Weekday
43109,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Monday,Weekday
43110,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Thursday,Weekday
43111,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Monday,Weekday
43112,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Saturday,Weekend
43113,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Friday,Weekday
43114,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Saturday,Weekend
43115,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Wednesday,Weekday
43116,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Friday,Weekday
43117,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Sunday,Weekend
43118,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Monday,Weekday
43119,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Tuesday,Weekday
43120,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Thursday,Weekday
43121,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Monday,Weekday
43122,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Saturday,Weekend
43123,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Monday,Weekday
43124,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Friday,Weekday
43125,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Sunday,Weekend
43126,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Friday,Weekday
43127,MMC-PTMS EMU,MOOR MARKET,PATTABIRAM E DEPOT,Saturday,Weekend
43128,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Wednesday,Weekday
43130,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Thursday,Weekday
43132,PTMS-MMC EMU,PATTABIRAM E DEPOT,MOOR MARKET,Saturday,Weekend
43201,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Monday,Weekday
43202,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Friday,Weekday
43203,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Sunday,Weekend
43204,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Tuesday,Weekday
43205,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Friday,Weekday
43206,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Monday,Weekday
43207,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Thursday,Weekday
43208,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Sunday,Weekend
43209,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Friday,Weekday
43210,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Monday,Weekday
43211,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Wednesday,Weekday
43212,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Monday,Weekday
43213,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Thursday,Weekday
43214,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Friday,Weekday
43215,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Tuesday,Weekday
43216,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Tuesday,Weekday
43217,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Saturday,Weekend
43218,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Friday,Weekday
43219,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Thursday,Weekday
43220,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Wednesday,Weekday
43221,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Tuesday,Weekday
43222,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Saturday,Weekend
43223,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Friday,Weekday
43224,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Thursday,Weekday
43225,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Tuesday,Weekday
43226,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Friday,Weekday
43227,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Tuesday,Weekday
43228,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Thursday,Weekday
43229,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Friday,Weekday
43230,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Sunday,Weekend
43231,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Tuesday,Weekday
43232,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Thursday,Weekday
43233,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Tuesday,Weekday
43234,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Friday,Weekday
43235,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Saturday,Weekend
43236,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Thursday,Weekday
43237,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Monday,Weekday
43238,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Monday,Weekday
43239,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Monday,Weekday
43240,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Wednesday,Weekday
43241,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Friday,Weekday
43242,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Tuesday,Weekday
43243,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Friday,Weekday
43244,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Thursday,Weekday
43245,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Monday,Weekday
43246,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Friday,Weekday
43247,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Tuesday,Weekday
43248,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Saturday,Weekend
43250,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Wednesday,Weekday
43251,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Sunday,Weekend
43252,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Sunday,Weekend
43253,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Thursday,Weekday
43254,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Wednesday,Weekday
43255,MMC-TRL EMU,MOOR MARKET,TIRUVALLUR,Thursday,Weekday
43256,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Thursday,Weekday
43257,MMC-TRL,MOOR MARKET,TIRUVALLUR,Sunday,Weekend
43258,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Friday,Weekday
43260,TRL-MMC EMU,TIRUVALLUR,MOOR MARKET,Sunday,Weekend
43401,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Monday,Weekday
43402,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Friday,Weekday
43403,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Saturday,Weekend
43404,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Saturday,Weekend
43405,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Monday,Weekday
43406,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Sunday,Weekend
43407,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Monday,Weekday
43408,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Sunday,Weekend
43409,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Monday,Weekday
43410,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Thursday,Weekday
43411,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Friday,Weekday
43412,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Wednesday,Weekday
43413,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Tuesday,Weekday
43414,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Tuesday,Weekday
43415,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Tuesday,Weekday
43418,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Tuesday,Weekday
43419,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Thursday,Weekday
43420,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Sunday,Weekend
43421,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Friday,Weekday
43422,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Monday,Weekday
43423,MMCC-AJJ,MOOR MARKET,ARAKKONAM JN,Thursday,Weekday
43424,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Thursday,Weekday
43425,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Monday,Weekday
43426,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Monday,Weekday
43427,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Tuesday,Weekday
43428,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Sunday,Weekend
43429,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Wednesday,Weekday
43430,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Tuesday,Weekday
43431,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Sunday,Weekend
43433,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Friday,Weekday
43434,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Friday,Weekday
43435,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Wednesday,Weekday
43436,AJJ-MMC EMU,ARAKKONAM JN,MOOR MARKET,Monday,Weekday
43437,MMC-AJJ EMU,MOOR MARKET,ARAKKONAM JN,Friday,Weekday
43438,MMC-AJJ EMU,ARAKKONAM JN,MOOR MARKET,Saturday,Weekend
43439,MMCC-AJJ,MOOR MARKET,ARAKKONAM JN,Wednesday,Weekday
43501,MAS-TRT EMU,MOOR MARKET,TIRUTTANI,Saturday,Weekend
43502,TRT-MMC EMU,TIRUTTANI,MOOR MARKET,Saturday,Weekend
43503,MMC-TRT EMU,MOOR MARKET,TIRUTTANI,Sunday,Weekend
43504,TRT-MMC EMU,TIRUTTANI,MOOR MARKET,Tuesday,Weekday
43505,MMC-TRT EMU,MOOR MARKET,TIRUTTANI,Monday,Weekday
43506,TRT-MMC EMU,TIRUTTANI,MOOR MARKET,Saturday,Weekend
43507,MMC-TRT EMU,MOOR MARKET,TIRUTTANI,Wednesday,Weekday
43508,TRT-MMC EMU,TIRUTTANI,MOOR MARKET,Tuesday,Weekday
43509,MMC-TRT EMU,MOOR MARKET,TIRUTTANI,Saturday,Weekend
